city_name,roads_length,footways_length,sidewalks_length,no_sidewalks_length,walk_geometries_length,hf_geometries_length,fs_geometries_length,hf_sf_geometries_length,sidewalk_geometries_length,no_sidewalk_geometries_length,footways_coverage,highway_footways_coverage,sidewalks_coverage,no_sidewalks_coverage,all_sidewalks_coverage,footways_coverage_rank,sidewalks_coverage_rank,walk_geometries_coverage
"San Jose, United States",5057572.269258576,11948877.232387004,238842.09717509715,239490.1718101662,7929967.492755729,7451119.557345911,6659406.865716315,7452908.635744951,243183.88627144005,138246.1435735309,0.4198886610695371,0.4698076987170969,0.0153332208797574,0.0087166904340921,0.0240499113138495,100.0,56.0,1.5679395311771267
"Vancouver, Canada",2362973.85434055,5843186.556385893,47418.76820843425,7636.775900172321,4000776.285300659,4000010.172879956,3236585.707611458,4001829.957632956,68760.1826512289,3981.0454595689753,0.4044947126265307,0.4999042545288626,0.0085933551075902,0.0004975341253391,0.0090908892329293,99.0,36.0,1.6931106867524697
"Toronto, Canada",1632604.3017944908,3518550.5232413183,557276.6227611023,226471.8509854756,2467643.530826758,2262786.319355856,1723236.2645464889,2262987.2233576854,592732.3547704946,120811.10691612453,0.3491663692545447,0.4584913280804648,0.120100887216053,0.0244790435504369,0.1445799307664899,98.0,92.0,1.5114768031141574
"Salt Lake City, United States",1849294.017502088,3659168.2217142736,348482.0228355466,38224.4652483175,3449904.6048934525,2233476.333100943,1897835.8177029267,2233489.364709652,369590.356903826,22183.5335157019,0.2750562747461157,0.3237011727705326,0.0535653009621755,0.0032150937571195,0.056780394719295,97.0,80.0,1.8655252070481307
"Detroit, United States",6709338.462241944,9354830.68322385,56576.647387704514,112844.35578161186,9600578.90283451,5330286.475120391,4774371.081400601,5335870.679735415,58312.28641245254,57053.17442396912,0.2486501662931491,0.2776023471640161,0.0030369151174433,0.0029713403223593,0.0060082554398027,96.0,16.0,1.430927796661856
"Boston, United States",2371966.784267129,2533128.705660273,359790.9987661361,17733.23949515729,3186455.296892402,1741252.1804968168,1210086.246015141,1742204.6429613982,352192.5545936369,9748.461012221896,0.1898796834205206,0.2732271471366594,0.0552640036935577,0.0015296717047512,0.0567936753983089,95.0,81.0,1.343381078532652
"Raleigh, United States",3906984.4294719575,5566067.191447173,50560.16119266905,26047.98412910653,8430949.336990658,3613117.7297187457,2907683.8652954767,3615933.924182713,57468.26504929912,90471.02254578756,0.172441070932431,0.2142770395894948,0.0034081728374975,0.005365411351059,0.0087735841885566,94.0,22.0,2.1579173117232338
"New York, United States",14875510.43024863,10847437.61345373,1528968.4307292034,50585.44027270787,20654930.136584766,9737442.048067518,6453954.422331208,9737471.531510148,1909750.0426495976,61753.93094623645,0.1562327826735111,0.2357171383218625,0.0462298838587446,0.0014948956626305,0.0477247795213752,93.0,77.0,1.388519085340693
"Seattle, United States",4478337.446446941,4481562.718300462,480825.4921584512,90549.23795564304,6662937.299704085,2987634.066708484,1958311.6538235403,2988153.7126737228,498479.87792671967,48823.79721136989,0.1469555817304864,0.2241979724798829,0.0374069164622679,0.0036638343582745,0.0410707508205425,92.0,72.0,1.4878149267180343
"Minneapolis, United States",2743960.776368176,2518837.919393479,1793600.0766135403,169390.39140016778,4400286.5522580845,1626652.6156727744,1195842.783561205,1632198.651915228,1833701.6644860576,97155.3690339606,0.1358823759952107,0.1848348506801254,0.2083616194887423,0.0110396638809924,0.2194012833697347,91.0,97.0,1.6036258936915897
"London, Canada",2634835.9639752894,3127702.095149149,281900.40853025694,110485.1538366688,4113547.869094168,2154204.1138857543,1108919.7674054245,2154222.415868928,287324.4380061671,56924.07952417883,0.1347887277229639,0.2618425970037545,0.0349241636599014,0.0069190977394306,0.0418432613993321,90.0,71.0,1.5612159259007088
"Denver, United States",5064160.611947656,4743073.641791402,127867.8504647968,8364.553031444895,8896236.807570592,2920639.281026561,2345374.3511899672,2923724.2528880914,154274.96952301255,4271.250443942911,0.1318183408289042,0.1641502662418525,0.0086707993986696,0.0002400593945694,0.008910858793239,89.0,38.0,1.7567051065841166
"Gatineau, Canada",1021846.7597261664,791759.3509565324,1328.7329181543807,236447.54401306657,1344676.377641554,438628.1629892405,339023.92752936226,438628.1629892405,1608.294687938327,151273.7987491549,0.1260615316690477,0.1630980399010787,0.0005980229573003,0.0562491471049993,0.0568471700622997,88.0,4.0,1.315927623043889
"Jacksonville, United States",9903178.40483279,7098491.203389069,717712.6293671019,1064069.9534566277,13685508.881988682,4076589.2339833057,3162467.828990334,4076636.79286716,790122.2209642876,543583.9924665286,0.1155407466489031,0.148938167704836,0.0288671114745377,0.0198598385034089,0.0487269499779467,87.0,67.0,1.3819309642356943
"Kansas City, United States",6803618.596041363,4686293.42380578,78125.016271417,83202.98044492124,9992229.479718847,2770875.124320967,2185977.980022639,2773516.8427579,92624.73417568803,52305.281706712565,0.1093838959793458,0.1386514956419381,0.0046348382192226,0.0026172978619474,0.00725213608117,86.0,27.0,1.4686639673677115
"Ottawa, Canada",10097173.693937652,7661097.062998441,2898515.0619080104,13665438.842842802,20880013.155068543,5985483.979492938,4344335.250070665,5986300.736816346,2985802.72858496,7086886.3929529255,0.1040309509818506,0.143330464761704,0.0714990624385734,0.1697050270112644,0.2412040894498378,85.0,89.0,2.0679067022096405
"Milwaukee, United States",22396859.84656288,11134202.308309749,95544.70586513975,237596.5831304764,33888723.87573909,8312525.623911249,6073619.568275219,8314251.9179415805,97049.40245170509,138035.33765607607,0.0896112168541011,0.1226444178658226,0.0014318834017999,0.0020365968657039,0.0034684802675039,84.0,9.0,1.5131015735199058
"Indianapolis, United States",10409979.860014658,5990551.790187461,97677.16842024702,103769.03115723876,16699786.977636514,3423997.323474153,2746649.4371789848,3424948.7144933064,106883.25095110828,70865.27983376774,0.0822360620784311,0.1025161976035799,0.0032001381542842,0.0021217420296638,0.005321880183948,83.0,20.0,1.6042093454744686
"Winnipeg, Canada",5741710.298280387,3525405.083038059,98571.87442413656,10432.920611396596,8799435.464271318,2144529.5485948063,1445780.744224818,2144761.99293443,122086.13877830282,5216.4603056983,0.0821519033860283,0.1218560870923095,0.0069371574616356,0.0002964088052511,0.0072335662668868,82.0,32.0,1.5325460545974783
"Warsaw, Poland",6045882.637696672,10382683.999624657,202835.5366853921,268495.3318914707,12171388.854944324,8687615.274991386,1975349.4897348012,8731930.234811397,211455.56062048,144022.19157600694,0.0811472508715537,0.3568867685737547,0.0086865830654396,0.0059164238893534,0.0146030069547931,81.0,39.0,2.0131698850808846
"Orlando, United States",2068677.0397726495,1301856.3248720327,2006611.874112188,1127453.2313020634,6812037.676689308,1187515.5267143608,998729.1149820576,1218873.3086397084,4237520.280827135,1228460.6581421052,0.0733061942977571,0.0871630181067569,0.311031770664442,0.0901683693225801,0.4012001399870222,80.0,99.0,3.2929440148076283
"Providence, United States",1040380.0233317524,424053.0493728514,43412.14354928986,1795.0166941116213,1287958.460678625,320710.1092511448,187232.9226618305,320710.1092511448,43412.14354928986,897.5083470558106,0.0726859321857234,0.1245032813721968,0.0168530837269456,0.0003484228624046,0.0172015065893503,79.0,61.0,1.237969234120834
"Krakow, Poland",2828786.487839745,3788627.031245045,181654.2106443726,303146.4184174625,6012147.200618401,2969516.207370158,863251.078061102,2996844.543485505,199894.5865314023,160630.79348324204,0.0717922440398922,0.2469597057657468,0.0166242259097416,0.0133588540103209,0.0299830799200626,78.0,60.0,2.1253449938562485
"Los Angeles, United States",14702175.362286603,5423082.037725095,363793.1290319048,210604.0402424664,21854628.30045481,4070059.143121795,2974944.707480223,4075807.7295415504,423080.1418001814,109441.7081425382,0.0680621209059481,0.0931166407217526,0.0096794174667197,0.0025038565432902,0.0121832740100099,77.0,45.0,1.486489431796289
"San Francisco, United States",2343515.5207746867,1584239.118651194,1686951.103564871,153979.25872610952,4238675.702372118,1308531.5974307372,574381.9397909031,1310699.2282727552,1760495.748796172,97663.77412157312,0.0677548814915774,0.1543561821323621,0.2076704933820407,0.0115205527597826,0.2191910461418234,76.0,96.0,1.8086825817014243
"Calgary, Canada",11487331.004423056,5332533.554602339,78215.04221257911,29509.36917853819,16657574.71968803,3786888.2895114594,2073558.6444636893,3786964.007489351,79875.4442442951,13853.429503759731,0.0622407126894918,0.1136686568494162,0.0023975712427658,0.0004158297272227,0.0028134009699885,75.0,14.0,1.4500822439324013
"Columbus, United States",6635624.132686903,2674360.011965874,645225.1263308628,164956.5346210654,13131552.141697366,2193115.6527334903,1570575.7735053764,2194009.8631869787,692232.5241335853,106351.5911918098,0.0598016044317502,0.0835055760761732,0.0263576048232523,0.0040494676502903,0.0304070724735427,74.0,66.0,1.978947553254516
"Washington, United States",2545603.694150096,1396098.2838624497,1106954.5564320628,160418.11364518426,4143483.496759352,1022347.724821341,492392.2927893056,1022608.1674473978,1149720.7692011006,81035.24627019718,0.0594176727353215,0.1233681424845696,0.138738427472959,0.0097786375079779,0.148517064980937,73.0,93.0,1.627701714246114
"Atlanta, United States",3632684.53960112,1593738.506387441,76656.12128193451,51372.40854688854,6896967.769108871,1137951.13420295,802428.4141504548,1138027.1617614792,103967.74157686737,48787.91899416146,0.0581725506783202,0.0824964805040679,0.007537206570874,0.0035369107575563,0.0110741173284303,72.0,35.0,1.8985870349937346
"Montreal, Canada",6325046.042509901,2725547.100783121,923022.8888217206,221426.30750782628,8674617.547528725,2163111.25199436,996098.5323405424,2163129.992360801,981759.0362212828,135611.81918605065,0.0574145503754408,0.1246804968716228,0.0565880300106701,0.0078165877886273,0.0644046177992974,71.0,82.0,1.3714710516299211
"Philadelphia, United States",5989405.401277034,2644929.8949835133,1104135.7048485526,116009.7134904002,9115855.870593509,1647737.6719723777,1046337.3651601956,1647876.197241221,1128922.4349462306,58357.08808435452,0.0573910656340857,0.0903775627523769,0.061920814182022,0.0032008562285745,0.0651216704105966,70.0,86.0,1.5219968026625594
"St Louis, United States",2519688.2450984446,1080440.424900686,17576.11106959995,2796.662164347797,4063760.7199546737,740898.204522205,463749.0605367024,740898.204522205,17667.581923944494,1384.135594246161,0.0570591002392821,0.0911591817997675,0.0021737970246611,0.0001703022999668,0.0023440993246279,69.0,12.0,1.6128029838056024
"Sacramento, United States",3567292.1636979664,1094634.9213293337,86567.21922715948,115959.12779507894,5386186.616953426,858388.602517426,614508.7376222215,858388.602517426,95290.39542787112,61812.38586519491,0.0570448799237673,0.0796842612002695,0.0088458126504508,0.0057380471807861,0.0145838598312369,68.0,42.0,1.5098809880965671
"Cincinnati, United States",2243366.933809139,1007700.7143128924,443681.845430719,62541.34326976224,3839732.5303415246,673431.5134266489,415377.715503859,675178.1775323753,471979.31901990937,31538.96348047081,0.0540894075591917,0.0876925030721802,0.0614599213995159,0.0041069219315733,0.0655668433310893,67.0,85.0,1.7115936196054324
"Melbourne, Australia",40668782.16312616,19277075.557434,1257241.592779882,79025.42060023823,57253774.55614767,15228714.291876957,5913682.32101692,15249176.058430662,1317863.4112652657,40381.37074670305,0.0516444755552097,0.1329931031616304,0.0115089653169754,0.0003526524762756,0.011861617793251,66.0,51.0,1.4078064675381132
"Christchurch, New Zealand",2921024.250814435,1608525.8294520683,136443.10656179744,539.2094597578208,5374918.165798675,1142518.159200012,527862.4832114072,1143869.003441302,166431.7296399573,269.6047298789104,0.0491042344207458,0.1062823771411077,0.0154822570787202,2.50798915967169e-05,0.0155073369703169,65.0,58.0,1.840079952879559
"Miami, United States",1666704.4729373632,419187.29990538064,159061.17297483623,59702.96745402095,2180099.46920575,292053.8392453284,192998.27633593592,292689.03686308354,167894.93886853912,66449.40747561582,0.0442636400453436,0.0669817692657227,0.0385062565355575,0.0152399944163613,0.0537462509519189,64.0,73.0,1.3080300104814568
"Pittsburgh, United States",2350669.39209117,705031.3409679385,271124.64259769855,252826.47295387305,3535450.554479399,471834.292957184,309789.2566402927,476400.1873507935,489786.8329749885,147657.37881237088,0.0438118497015594,0.0667290187893269,0.0692679512027725,0.0208823990799828,0.0901503502827554,63.0,88.0,1.5040186282147658
"Austin, United States",6528562.136066306,2288291.346160938,316811.58615059115,263674.57989009883,13313891.741824128,1794165.4529129255,1152797.6276725363,1794165.4529129255,337286.37018286553,151686.50785855018,0.043293037453923,0.0673794517675381,0.0126667084547231,0.0056965502949841,0.0183632587497073,62.0,52.0,2.039329865342482
"Budapest, Hungary",6743153.072130451,3325902.50318287,1201415.82797248,378551.0492009624,10633502.28800596,2438638.3171270266,917470.6091591384,2441033.9133059424,1427488.8889031787,201600.85564027823,0.0431405657472796,0.114667691371905,0.0671222354704955,0.0094795134368698,0.0766017489073654,61.0,87.0,1.5769332498107418
"Nashville, United States",6936417.212158126,2290782.983887688,11782.970627422996,71459.38473124593,11491586.463152075,1564722.2518901324,934631.6177950297,1564950.8475088445,34892.14090821486,48261.29287853495,0.0406659089583469,0.0680812112804195,0.0015181603088527,0.002099853359381,0.0036180136682338,60.0,10.0,1.656703469769619
"Chicago, United States",9373552.43386031,2654270.3037295467,111159.42707871857,21687.66035164575,17183711.266050853,2213216.7889933167,1364197.02413635,2213257.1158606294,125905.98665030724,11223.113166436824,0.0396944816813681,0.0643986841586973,0.0036635271828343,0.000326562550798,0.0039900897336323,59.0,25.0,1.8332122626185692
"San Diego, United States",7667643.73364315,2581930.0696203965,974814.7060326734,228530.2760874038,12353016.673913462,1775640.2863553911,927318.5023028438,1775809.319386615,1030805.4447728276,117887.24671643524,0.0375340909342862,0.0718707151956294,0.0417228225292383,0.0047715974902464,0.0464944200194847,58.0,74.0,1.6110577255581666
"Baltimore, United States",3223202.456052907,1016322.0596740368,173721.15549607834,20175.376355261684,5512092.798539592,710006.4884564894,393489.7814677605,711217.3294875125,186950.69503976277,11405.372585573032,0.0356933197470853,0.064404438967773,0.016958231825242,0.0010345773377214,0.0179928091629634,57.0,62.0,1.7101292499291625
"Kielce, Poland",859079.9853371987,1198542.160291328,9953.713669357618,2724.0674815950865,2470780.851617717,1052068.7415174046,176066.36611951113,1053242.4575466032,11584.278184829192,2825.149332385597,0.0356297010324152,0.2129020752343482,0.0023442544848209,0.0005717118397076,0.0029159663245286,56.0,13.0,2.8760777736521326
"Shenzhen, China",12801754.97780194,1507068.5631429222,65167.39592989712,489.0557265553847,22136349.682561643,5601801.196142904,1530420.5854201838,5604252.671141718,458668.4989764695,223203.6832628572,0.0345680432267882,0.1265294702259748,0.0103600752959236,0.0050415648122574,0.015401640108181,55.0,48.0,1.7291652371839454
"Tampa, United States",3205974.837937167,1060874.1664947974,317289.0489281459,172107.14099297568,6787795.550734114,990507.527240133,454540.06921792845,994258.1286391232,472237.7746835742,183808.7373242942,0.0334821567488703,0.0729623866715466,0.0347857983607432,0.0135396489147654,0.0483254472755087,54.0,70.0,2.117232945939654
"Brisbane, Australia",7989148.911933819,2077804.8393746528,188564.137349176,19615.293627821877,15114778.615183812,2587640.8300987026,936958.5601221784,2588302.0206385786,260225.98910737757,31580.358727609288,0.0309947827876532,0.0855996933854937,0.008608329494352,0.0010446847926665,0.0096530142870186,53.0,37.0,1.8919134918872345
"Cleveland, United States",2948518.400684296,591062.802296723,12432.976893244886,1593.642365943682,3828544.735184652,441767.1212396035,235621.9544881756,441767.1212396035,26838.59509191342,796.821182971841,0.0307717384523145,0.0576938695765686,0.0035050648416439,0.0001040631934699,0.0036091280351138,52.0,23.0,1.298463911331236
